snapshot_date,portfolio,yahoo_ticker,security_name,currency,quantity,market_value_usd,weight_pct,sector,industry,pe_ttm,pb_ratio,eps_ttm,book_value_per_share,dividend_yield,annual_dividend_rate,market_cap,week_52_high,week_52_low,rsi_14
2026-04-04,FGI,WJG.L,WATKIN JONES PLC,GBP,2744202.0,92326781.9661245,0.9734690645,Consumer Cyclical,Residential Construction,,50.0,-0.03,0.51,,0.0,65551092,40.956,23.45,14.43297064
2026-04-04,FGI,PROUD.BK,PROUD REAL ESTATE PCL,THB,12800150.0,388239.84764677,0.0040934978,Real Estate,Real Estate - Development,5.8235292,0.5564924,0.17,1.779,9.0,0.09,964273856,1.45,0.66,50.0
2026-04-04,FGI,1113.HK,CK ASSET HOLDINGS LTD,HKD,48000.0,277863.13983359,0.0029297151,Real Estate,Real Estate - Development,14.632258,0.40043786,3.1,113.276,3.92,1.78,158749949952,49.94,28.1,46.50655204
2026-04-04,FGI,0016.HK,SUN HUNG KAI PROPERTIES,HKD,15000.0,250772.0929005,0.0026440743,Real Estate,Real Estate - Development,17.282322,0.6106458,7.58,214.527,2.89,3.78,379609219072,148.8,65.2,50.76531367
2026-04-04,FGI,0083.HK,SINO LAND CO,HKD,146000.0,215204.57364607,0.0022690599,Real Estate,Real Estate - Development,28.170732,0.6425234,0.41,17.976,5.02,0.58,109545914368,13.3,7.31,54.50238102
2026-04-04,FGI,0700.HK,TENCENT HOLDINGS LTD,HKD,2328.0,145340.31093934,0.0015324296,Communication Services,Internet Content & Information,17.827988,3.3767152,27.44,144.87453,1.08,4.763,4420811096064,683.0,419.0,29.54386393
2026-04-04,FGI,LEG.DE,LEG IMMOBILIEN SE,EUR,2010.0,133861.03580721,0.0014113952,Real Estate,Real Estate Services,3.4201183,0.50242084,16.9,115.043,4.67,2.92,4367992320,77.95,52.65,44.15204626
2026-04-04,FGI,VNA.DE,VONOVIA SE,EUR,4960.0,128071.89076891,0.001350356,Real Estate,Real Estate Services,6.9380803,0.6920511,3.23,32.382,5.58,1.25,19009533952,30.69,20.09,39.31973329
2026-04-04,FGI,0001.HK,CK HUTCHISON HOLDINGS LTD,HKD,15000.0,116293.16521912,0.0012261642,Industrials,Conglomerates,19.660194,0.4134453,3.09,146.936,3.81,2.312,232675196928,66.5,37.45,60.50420033
2026-04-04,FGI,0173.HK,K WAH INTL HOLDINGS,HKD,361000.0,101816.02394814,0.0010735211,Real Estate,Real Estate - Development,,0.17374213,-0.28,12.72,0.9,0.03,6967530496,2.92,1.61,31.11111464
2026-04-04,FGI,0012.HK,HENDERSON LAND DEVELOPMENT,HKD,26000.0,95826.84154721,0.0010103728,Real Estate,Real Estate - Diversified,23.104,0.433562,1.25,66.611,4.36,1.26,139819253760,35.66,19.6,37.01798988
2026-04-04,FGI,BUOU.SI,FRASERS LOGISTICS & COMMERCI,SGD,133000.0,92526.23692083,0.0009755721,Real Estate,REIT - Industrial,17.9,0.8099547,0.05,1.105,6.65,0.06,3397433088,1.05,0.755,35.71428267
2026-04-04,FGI,N2IU.SI,MAPLETREE PAN ASIA COM TRUST,SGD,88800.0,91802.57284115,0.0009679419,Real Estate,REIT - Office,10.23077,0.7586994,0.13,1.753,6.03,0.08,7023938048,1.5,1.09,44.44445916
2026-04-04,FGI,1109.HK,CHINA RESOURCES LAND LTD,HKD,24500.0,89798.10239654,0.0009468073,Real Estate,Real Estate - Development,7.0913577,0.6204313,4.05,46.29038,4.57,1.166,204800573440,34.12,22.75,39.5705482
2026-04-04,FGI,A17U.SI,CAPITALAND ASCENDAS REIT,SGD,45800.0,89001.1707832,0.0009384047,Real Estate,REIT - Industrial,14.705882,1.0926573,0.17,2.288,7.5,0.156,11529880576,2.92,2.4,49.63200581
2026-04-04,FGI,0823.HK,LINK REIT,HKD,18600.0,87068.07139091,0.0009180226,Real Estate,REIT - Retail,,0.59948355,-2.63,61.186,7.21,2.643,95329091584,45.05,32.65,47.42268514
2026-04-04,FGI,0688.HK,CHINA OVERSEAS LAND & INVEST,HKD,54500.0,81167.84415241,0.0008558122,Real Estate,Real Estate - Development,8.840909,0.28961253,1.32,40.29522,4.28,0.449,127726796800,15.12,11.36,33.33332396
2026-04-04,FGI,0960.HK,LONGFOR GROUP HOLDINGS LTD,HKD,77500.0,75365.62713718,0.0007946352,Real Estate,Real Estate - Development,44.82353,0.28049305,0.17,27.166449,2.48,0.07,52389322752,12.24,7.43,27.23950916
2026-04-04,FGI,INS.DE,INSTONE REAL ESTATE GROUP SE,EUR,6510.0,56256.47850044,0.0005931534,Real Estate,Real Estate - Development,7.2815537,0.5311991,1.03,14.119,6.67,0.43,331923584,10.18,7.15,28.57141972
